survey_name,orig_item_num,item_text,variable_name,response_type,response_options,response_options_text,age_range,form_construct,form_subconstruct,response_directed,form_frequency,Acknowledgements,Outstanding questions
Social Competence Scale,2,Your child copes well with failure.,ChildSCS2,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Emotion Regulation,caregiver about child,longitudinal,,
Social Competence Scale,3,Your child thinks before acting. (SDQ 21),ChildSCS3,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Emotion Regulation,caregiver about child,longitudinal,,
Social Competence Scale,4,Your child resolves problems with friends on their own.,ChildSCS4,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Prosocial-Communication,caregiver about child,longitudinal,,
Social Competence Scale,5,Your child can calm down when excited.,ChildSCS5,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Emotion Regulation,caregiver about child,longitudinal,,
Social Competence Scale,6,Your child does what they are told to do. (SDQ 7),ChildSCS6,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Emotion Regulation,caregiver about child,longitudinal,,
Social Competence Scale,7,Your child is good at understanding others' feelings.,ChildSCS7,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Prosocial-Communication,caregiver about child,longitudinal,,
Social Competence Scale,8,Your child controls their temper when there is a disagreement.,ChildSCS8,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Emotion Regulation,caregiver about child,longitudinal,,
Social Competence Scale,9,Your child shares things with others. (SDQ 4),ChildSCS9,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Prosocial-Communication,caregiver about child,longitudinal,,
Social Competence Scale,10,Your child is helpful to others. (SDQ 20),ChildSCS10,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Prosocial-Communication,caregiver about child,longitudinal,,
Social Competence Scale,11,Your child listens to others' points of view.,ChildSCS11,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Prosocial-Communication,caregiver about child,longitudinal,,
Social Competence Scale,12,Your child can give suggestions without being bossy.,ChildSCS12,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Prosocial-Communication,caregiver about child,longitudinal,,
Child Behavior Questionnaire,0,"For each item, please mark your best response to indicate how well the sentence describes this child.",ChildCBQitems,NA,NA,NA,,NA,NA,caregiver about child,longitudinal,,
Child Behavior Questionnaire,1,Understanding others' feelings.,ChildCBQ1,numeric_scale,"1, 2, 3, 4, 5","very poor, somewhat poor, average, good, very good",,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Child Behavior Questionnaire,2,Being socially aware of what is happening in a situation.,ChildCBQ2,numeric_scale,"1, 2, 3, 4, 5","very poor, somewhat poor, average, good, very good",,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Child Behavior Questionnaire,3,Accurately interpreting what a peer is trying to do.,ChildCBQ3,numeric_scale,"1, 2, 3, 4, 5","very poor, somewhat poor, average, good, very good",,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Child Behavior Questionnaire,4,Exhibiting good self-control in responding.,ChildCBQ4,numeric_scale,"1, 2, 3, 4, 5","very poor, somewhat poor, average, good, very good",,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Child Behavior Questionnaire,5,Generating many solutions to interpersonal problems.,ChildCBQ5,numeric_scale,"1, 2, 3, 4, 5","very poor, somewhat poor, average, good, very good",,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Child Behavior Questionnaire,6,Generating good quality solutions to interpersonal problems.,ChildCBQ6,numeric_scale,"1, 2, 3, 4, 5","very poor, somewhat poor, average, good, very good",,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Child Behavior Questionnaire,7,Being aware of the effects of his/her behavior on others.,ChildCBQ7,numeric_scale,"1, 2, 3, 4, 5","very poor, somewhat poor, average, good, very good",,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Child Behavior Questionnaire,0,How often does your child do each of the following:,ChildCBQ8,NA,NA,NA,,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Child Behavior Questionnaire,8,Tries to make sad people happier.,ChildCBQ9,numeric_scale,"1, 2, 3, 4, 5","Never/almost never, Occasionally, Sometimes, Often, Almost always/always",,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Child Behavior Questionnaire,9,Helps others with their homework.,ChildCBQ10,numeric_scale,"1, 2, 3, 4, 5","Never/almost never, Occasionally, Sometimes, Often, Almost always/always",,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Child Behavior Questionnaire,10,Lets others use her/his toys.,ChildCBQ11,numeric_scale,"1, 2, 3, 4, 5","Never/almost never, Occasionally, Sometimes, Often, Almost always/always",,Social Emotional,Prosocial Behavior,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,0,"For each item, please mark your best response to indicate how well the sentence describes this child.",ChildJukesItems,NA,NA,NA,,NA,NA,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,1,Is child curious to investigate and understand new things?,ChildJukes1,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Curious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,2,Is child able to make observations and deductions before being told an answer?,ChildJukes2,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Curious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,3,Does child give unique responses that go beyond those of other children?,ChildJukes3,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Curious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,4,Does child often want to learn new things?,ChildJukes4,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Curious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,5,Does child investigate new objects that appear in the household or community spaces?,ChildJukes5,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Curious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,6,Does child like to ask many questions?,ChildJukes6,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Curious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,7,"If child makes a mistake, do they ask forgiveness?",ChildJukes7,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Conscientious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,8,Does child often plan own tasks well?,ChildJukes8,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Conscientious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,9,Does child complete own work without being asked or reminded to do so?,ChildJukes9,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Conscientious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,10,Does child work diligently when trying to complete tasks or chores?,ChildJukes10,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Conscientious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,11,"If child cannot do something, do they try again?",ChildJukes11,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Conscientious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,12,Does child like to finish tasks properly (with quality)?,ChildJukes12,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Conscientious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,13,Is child slow and unhurried in deciding what to do next?,ChildJukes13,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Conscientious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,14,Does child continue with a task even when it is tiring?,ChildJukes14,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Conscientious,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,15,Does child easily agree to do tasks or errands?,ChildJukes15,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Obedient,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,16,Does child willingly follow instructions?,ChildJukes16,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Obedient,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,17,"When child is directed to complete a task, does child do it enthusiastically?",ChildJukes17,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Obedient,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,18,"When child is sent to complete an errand, does child return on time?",ChildJukes18,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Obedient,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,19,"If child is told to do a chore, does child do it?",ChildJukes19,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Obedient,caregiver about child,longitudinal,,
Jukes Social-Emotional Competencies,20,Is child respectful towards adults?,ChildJukes20,numeric_scale,"0, 1, 2, 3","Does not engage in behavior, Less than other children, About the same as other children, More than other children",,Social Emotional,Obedient,caregiver about child,longitudinal,,
National Survey of Children's Health,G7,"Compared to other children their age, how much difficulty does this child have making or keeping friends?",ChildFriends,numeric_scale,"0, 1, 2","No difficulty, A little difficulty, A lot of difficulty",,Social Emotional,Peer Relationships,caregiver about child,longitudinal,,
National Survey of Children's Health,G8,"DURING THE PAST 12 MONTHS, how often was this child bullied, picked on, or excluded by other children?
If the frequency changed throughout the year, report the highest frequency.",ChildBullied,numeric_scale,"0, 1, 2, 3, 4","Never (in the past 12 months), 1-2 times (in the past 12 months), 1-2 times per month, 1-2 times per week, Almost every day",,Social Emotional,Peer Relationships,caregiver about child,longitudinal,,
National Survey of Children's Health,G9,"DURING THE PAST 12 MONTHS, how often did this child bully others, pick on them, or exclude them?
If the frequency changed throughout the year, report the highest frequency.",ChildBullyOthers,numeric_scale,"0, 1, 2, 3, 4","Never (in the past 12 months), 1-2 times (in the past 12 months), 1-2 times per month, 1-2 times per week, Almost every day",,Social Emotional,Peer Relationships,caregiver about child,longitudinal,,
Early Learning Survey,0,CONCURRENT REPORT INSTRUCTIONS,,NA,NA,NA,5-Feb,NA,NA,,,,
Early Learning Survey,0,"Before this child began primary/elementary school, how often did you or someone else in your home do the following activities with him or her? ",ChildESLitems,NA,NA,NA,12-May,NA,NA,caregiver about child,longitudinal,,
Early Learning Survey,1,Read books,ChildELS1,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Language,caregiver about child,longitudinal,,
Early Learning Survey,2,Tell stories,ChildELS2,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Language,caregiver about child,longitudinal,,
Early Learning Survey,3,Sing songs,ChildELS3,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Language,caregiver about child,longitudinal,,
Early Learning Survey,4,"Play with alphabet toys (e.g., blocks with letters of the alphabet)",ChildELS4,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Language,caregiver about child,longitudinal,,
Early Learning Survey,5,Talk about things you had done,ChildELS5,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Language,caregiver about child,longitudinal,,
Early Learning Survey,6,Talk about what you had read,ChildELS6,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Language,caregiver about child,longitudinal,,
Early Learning Survey,7,Play word games,ChildELS7,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Language,caregiver about child,longitudinal,,
Early Learning Survey,8,Write letters or words,ChildELS8,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Language,caregiver about child,longitudinal,,
Early Learning Survey,9,Read aloud signs and labels,ChildELS9,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Language,caregiver about child,longitudinal,,
Early Learning Survey,10,Say counting rhymes or sing counting songs,ChildELS10,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Numeracy,caregiver about child,longitudinal,,
Early Learning Survey,11,"Play with number toys (e.g., blocks with numbers)",ChildELS11,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Numeracy,caregiver about child,longitudinal,,
Early Learning Survey,12,Count different things,ChildELS12,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Numeracy,caregiver about child,longitudinal,,
Early Learning Survey,13,"Play games involving shapes (e.g., shape sorting toys, puzzles)",ChildELS13,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Numeracy,caregiver about child,longitudinal,,
Early Learning Survey,14,Play with building blocks or construction toys,ChildELS14,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Numeracy,caregiver about child,longitudinal,,
Early Learning Survey,15,Play board or card games,ChildELS15,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Numeracy,caregiver about child,longitudinal,,
Early Learning Survey,16,Write numbers,ChildELS16,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Numeracy,caregiver about child,longitudinal,,
Early Learning Survey,17,Draw shapes,ChildELS17,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Numeracy,caregiver about child,longitudinal,,
Early Learning Survey,18,"Measure or weigh things (e.g., when cooking)",ChildELS18,numeric_scale,"0, 1, 2","Never or almost never, Sometimes, Often",,Home Environment,Early Numeracy,caregiver about child,longitudinal,,
Trends in International Mathematics and Science Study Early Learning Survey,4A1,Did this child attend an early childhood education program or center for children under age 3 before first grade?,ChildAttendEC,yes_no,"0, 1","No, Yes",,Education History,Education,caregiver about child,longitudinal,,
,4A2,"Did this child attend a pre-primary educational program for children age 3 or older, including kindergarten, before first grade?",ChildAttendKinder,yes_no,"0, 1","No, Yes",,Education History,Education,,,,
Trends in International Mathematics and Science Study Early Learning Survey,4B,"Approximately how long was your child in these programs all together?
Select one option only.",ChildAttendECKinderTime,numeric_scale,"0, 1, 2, 3, 4, 5","Did not attend, Less than 1 year, 1 year, 2 years, 3 years, 4 years or more",,Education History,Education,caregiver about child,longitudinal,,
Trends in International Mathematics and Science Study Early Learning Survey,5,"How old was your child when he/she began the <first grade> of primary/elementary school?
Select one option only.",ChildAttendPrimaryAge,numeric_scale,"1, 2, 3, 4","5 years old or younger, 6 years old, 7 years old, 8 years old or older",,Education History,Education,caregiver about child,longitudinal,,
Trends in International Mathematics and Science Study Early Learning Survey,16,How far in his/her education do you expect your child to go?,ChildEdAchieve,numeric_scale,"1, 2, 3, 4, 5, 6",Customize by site (see TIMSS #16 for examples)                                                                                                               ,,Education History,Education,caregiver about child,longitudinal,,
National Survey of Children's Health,G10,How often does this child do the following:,ChildSchoolItems,NA,NA,NA,,NA,NA,caregiver about child,longitudinal,,
National Survey of Children's Health,G10a,Show interest and curiosity in new topics at school?,ChildNSCHg10a,numeric_scale,"0, 1, 2, 3","Never, Sometimes, Usually, Always",,Child Health/Well-Being,Academic interest and perserverance,caregiver about child,longitudinal,,
National Survey of Children's Health,G10b,Work to finish school-related tasks they start?,ChildNSCHg10b,numeric_scale,"0, 1, 2, 3","Never, Sometimes, Usually, Always",,Child Health/Well-Being,Academic interest and perserverance,caregiver about child,longitudinal,,
National Survey of Children's Health,G10c,Stay calm and in control when faced with an academic challenge?,ChildNSCHg10c,numeric_scale,"0, 1, 2, 3","Never, Sometimes, Usually, Always",,Child Health/Well-Being,Academic interest and perserverance,caregiver about child,longitudinal,,
National Survey of Children's Health,G10d,Care about doing well in school?,ChildNSCHg10d,numeric_scale,"0, 1, 2, 3","Never, Sometimes, Usually, Always",,Child Health/Well-Being,Academic interest and perserverance,caregiver about child,longitudinal,,
National Survey of Children's Health,G10e,Do all required homework?,ChildNSCHg10e,numeric_scale,"0, 1, 2, 3","Never, Sometimes, Usually, Always",,Child Health/Well-Being,Academic interest and perserverance,caregiver about child,longitudinal,,
National Survey of Children's Health,H6,"ON MOST WEEKDAYS, about how much time did this child spend in front of a TV, computer, cellphone, or other device watching programs, playing games, accessing the internet, or using social media?
Do not include time spent doing schoolwork.",ChildDeviceUse,numeric_scale,"1, 2, 3, 4, 5","Less than 1 hour, 1 hour, 2 hours, 3 hours, 4 or more hours",,Child Health/Well-Being,Technology,caregiver about child,longitudinal,,
NA,NA,"Does your child have a smartphone? If yes, at what age did they get it?",ChildPhone,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Technology,caregiver about child,longitudinal,,
NA,NA,"If yes, at what age did they get it?",ChildPhoneAge,numeric,open_ended,NA,,Child Health/Well-Being,Technology,,,,
NA,NA,"Does your child have an account on any social media website such as Instagram, Tiktok, Meta, or others? ",ChildSocialMedia,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Technology,caregiver about child,longitudinal,,
Executive Function Questionnaire,0,"We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive the highest rating (""almost always""), whereas most children will be between ""frequently/often"" and ""sometimes"". Those who are still developing and need a lot of support should receive a ""rarely"" rating.",ChildEFQ,NA,NA,NA,N,NA,NA,caregiver about child,longitudinal,,
Executive Function Questionnaire,1,Pays attention when an adult is explaining or showing something ... (by listening carefully and/or watching the adult's demonstration with appropriate eye gaze/body orientation.),ChildEFQ1,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,"Attentional Focus, Engagement, & Persistence",caregiver about child,longitudinal,,
Executive Function Questionnaire,2,"Finishes an assigned task that is repetitive (e.g., picking up toys, putting away laundry)",ChildEFQ2,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,"Attentional Focus, Engagement, & Persistence",caregiver about child,longitudinal,,
Executive Function Questionnaire,3,"Remains focused and engaged during lengthy adult-led activities (e.g., religious or performance event, family meal time) by listening carefully and contributing when appropriate.",ChildEFQ3,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,"Attentional Focus, Engagement, & Persistence",caregiver about child,longitudinal,,
Executive Function Questionnaire,4,"Remains focused and engaged during collaborative child-led activities (e.g., playing with siblings/peers)",ChildEFQ4,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,"Attentional Focus, Engagement, & Persistence",caregiver about child,longitudinal,,
Executive Function Questionnaire,5,"Persists on a difficult task (e.g., homework, chore) by trying to figure things out, asking questions, and not quitting",EFQ5,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,"Attentional Focus, Engagement, & Persistence",caregiver about child,longitudinal,,
Executive Function Questionnaire,6,"Gets deeply engaged in an activity they choose for themselves (e.g., drawing, reading, cooking, building, sports, games)",ChildEFQ6,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,"Attentional Focus, Engagement, & Persistence",caregiver about child,longitudinal,,
Executive Function Questionnaire,7,"Ignores irrelevant activity/noise (e.g., crying sibling, TV, outside traffic) when working on an assigned task",ChildEFQ7,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Inhibitory Control - Interference Suppression,caregiver about child,longitudinal,,
Executive Function Questionnaire,8,Completes an assigned task before moving to a next task,ChildEFQ8,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Inhibitory Control - Interference Suppression,caregiver about child,longitudinal,,
Executive Function Questionnaire,9,"Regains focus/focuses again on an assigned task when interrupted (e.g., family member asks an unrelated question or needs brief assistance)",ChildEFQ9,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Inhibitory Control - Interference Suppression,caregiver about child,longitudinal,,
Executive Function Questionnaire,10,"Ignores a preferred, fun activity (e.g., playing) when asked to complete an assigned task (e.g., cleaning room)",ChildEFQ10,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Inhibitory Control - Interference Suppression,caregiver about child,longitudinal,,
Executive Function Questionnaire,11,Answers questions or tells a story without getting distracted by small details and/or losing train of thought,ChildEFQ11,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Inhibitory Control - Interference Suppression,caregiver about child,longitudinal,,
Executive Function Questionnaire,12,"Waits turn to speak (e.g., does not interrupt others, does not blurt out answers, thinks before speaking)",ChildEFQ12,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Inhibitory Control - Response Inhibition,caregiver about child,longitudinal,,
Executive Function Questionnaire,13,"Stops an undesirable behavior when asked (e.g., stops fighting with sibling when asked by parent, stops misbehaving in the household)",ChildEFQ13,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Inhibitory Control - Response Inhibition,caregiver about child,longitudinal,,
Executive Function Questionnaire,14,"Stops playing or doing something fun when asked (e.g., stops playing with friends when parent asks, stops watching TV when parent asks)",ChildEFQ14,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Inhibitory Control - Response Inhibition,caregiver about child,longitudinal,,
Executive Function Questionnaire,15,"Waits for their turn to act (e.g., waits patiently in line at a grocery store or when sharing a toy with sibling)",ChildEFQ15,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Inhibitory Control - Response Inhibition,caregiver about child,longitudinal,,
Executive Function Questionnaire,16,"Stops and thinks before acting (e.g., does not run out in front of a car, does not grab things they shouldn't)",ChildEFQ16,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Inhibitory Control - Response Inhibition,caregiver about child,longitudinal,,
Executive Function Questionnaire,17,"Completes activities that require multiple steps (e.g., fetching multiple things in home or store/market, setting the table, cleaning a room by putting several things away)",ChildEFQ17,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Working Memory,caregiver about child,longitudinal,,
Executive Function Questionnaire,18,"Completes activities that require remembering lengthy instructions (e.g., rules of a game, household chores, cooking recipe)",ChildEFQ18,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Working Memory,caregiver about child,longitudinal,,
Executive Function Questionnaire,19,"Communicates in an organized way (e.g., retells the correct sequence of the events, explains how a game works so it is easy to understand)",ChildEFQ19,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Working Memory,caregiver about child,longitudinal,,
Executive Function Questionnaire,20,"Completes age-appropriate numerical mental calculation (e.g., adds prices of goods, calculates time, how much they are older than someone else)",ChildEFQ20,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Working Memory,caregiver about child,longitudinal,,
